t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
179.36272,3,12,7,60.637582,1,4,10,121.95823,1,5,16,83.522756,1,2,10,50.53683,1,2,8,73.271572,1,3,14,1,1,1,1,1,0,1,1,1,1,1,1,65,569.289691,28,13.826971,A
261.83093,4,90,17,43.503027,1,6,10,60.174345,1,4,16,38.45303,1,2,10,68.418438,1,3,14,101.913814,4,8,14,0,1,1,1,0,0,1,1,1,1,1,1,81,574.293584,113,21.632947,A
127.077335,5,6,7,174.152848,2,6,10,267.32088,3,8,24,41.864647,1,1,10,90.512087,2,2,12,40.681259,1,1,10,1,1,0,1,0,1,1,1,0,1,1,1,73,741.609056,24,16.519231,A
76.447469,2,16,9,41.306073,1,12,10,71.464376,1,25,25,46.454698,1,19,18,18.911744,1,12,13,26.04342,1,9,11,0,1,0,0,0,0,1,1,0,0,1,1,86,280.62778,93,18.370742,A
67.264133,1,9,7,75.818353,1,10,10,126.848993,1,15,19,56.059447,1,3,10,214.82552,5,13,10,38.066107,1,5,10,1,1,0,1,0,1,1,1,0,1,1,1,66,578.882553,55,15.733251,A
123.858487,1,15,12,100.499902,1,9,15,643.462464,4,90,59,93.824331,1,9,15,60.407054,1,7,12,160.924077,1,7,29,0,0,0,0,0,0,1,1,0,0,1,0,142,1182.976315,137,38.696189,A
33.305423,1,1,7,111.678944,2,3,10,153.514871,1,7,20,42.4856,1,2,10,56.014366,2,3,8,40.919488,1,3,11,1,1,0,1,1,0,1,1,0,1,1,1,66,437.918692,19,12.167315,A
55.376307,1,1,7,323.24244,6,16,10,289.49238,2,3,18,66.065987,1,2,10,44.661293,1,2,8,57.659967,1,2,10,1,1,0,1,1,1,1,1,0,1,1,1,63,836.498373,26,15.96391,A
48.144896,2,7,7,39.781938,3,16,10,196.67737,6,73,21,49.810749,2,18,10,22.822926,1,16,16,55.308176,2,17,14,1,1,0,1,0,0,1,1,0,1,0,1,78,412.546055,147,21.677597,A
16.74588,1,2,7,30.74296,1,8,10,91.560753,3,21,16,29.659453,1,6,10,18.51218,1,3,8,39.57512,2,6,10,1,1,1,1,1,1,1,1,1,1,1,1,61,226.796347,46,10.987975,A
65.239634,1,1,7,220.71762,5,14,10,343.898138,9,13,18,208.250558,4,13,10,58.391089,1,2,8,155.54208,4,4,10,1,1,0,1,1,1,1,1,0,1,1,1,63,1052.039119,47,19.330302,A
