op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa;sol1;estado
1;1;0;1;1;0;1;1;0;1;1;1;66;437.918692;19;12.167315;7;4;3;3;3;'INGENIERIA CIVIL INFORMATICA';5.8;A
1;1;0;1;1;1;1;1;0;1;1;1;63;836.498373;26;15.96391;10;7;4;4;3;'INGENIERIA CIVIL INFORMATICA';6.2;A
1;1;0;1;0;0;1;1;0;1;0;1;78;412.546055;147;21.677597;5;5;1;2;2;'INGENIERIA CIVIL INDUSTRIAL';6;A
1;1;1;1;1;1;1;1;1;1;1;1;61;226.796347;46;10.987975;5;2;3;1;2;'INGENIERIA CIVIL INFORMATICA';6.6;A
1;1;0;1;1;1;1;1;0;1;1;1;63;1052.039119;47;19.330302;4;2;3;1;1;'INGENIERIA CIVIL INDUSTRIAL';3.8;A
1;1;1;1;1;1;1;1;1;1;1;1;61;377.802947;89;15.079723;7;3;4;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6.1;A
1;0;1;1;1;1;1;1;1;1;1;1;65;374.60779;42;12.806407;7;4;4;1;2;'INGENIERIA EN COMPUTACION E INFORMATICA';4.8;A
0;0;0;0;0;0;0;0;0;1;1;0;105;554.577447;80;23.244873;10;6;4;4;3;'INGENIERIA CIVIL INFORMATICA';6.4;A
1;1;0;1;0;1;1;1;0;1;1;1;66;595.124595;20;13.745393;8;5;3;3;3;'INGENIERIA CIVIL INDUSTRIAL';6.5;A
0;0;0;1;0;0;0;0;0;1;0;0;119;648.919181;186;32.880887;5;3;2;3;2;'INGENIERIA EN COMPUTACION E INFORMATICA';4.7;A
0;1;0;0;1;0;1;1;0;0;1;0;86;1236.653064;70;26.185682;7;4;3;2;1;'INGENIERIA CIVIL INDUSTRIAL';6.9;A
0;1;1;1;1;1;1;1;1;1;1;1;65;733.73572;34;15.781272;8;6;4;1;1;'INGENIERIA EN COMPUTACION E INFORMATICA';6.4;A
0;0;0;0;0;0;1;1;0;1;1;1;81;782.940754;62;20.521138;7;4;4;2;2;'INGENIERIA CIVIL INDUSTRIAL';6.2;A
0;0;0;0;0;0;1;1;0;0;1;0;144;1895.901486;142;46.199911;5;4;2;2;2;'INGENIERIA CIVIL INDUSTRIAL';5.2;A
0;1;1;0;0;1;1;1;1;1;1;1;65;368.730453;41;12.688426;9;5;4;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6.4;A
