op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
1,1,0,1,0,1,1,1,0,1,1,1,66,'\'(573.253522-741.552114]\'',20,'\'(13.465412-15.967208]\'',8,5,3,3,3,'INGENIERIA CIVIL INDUSTRIAL',6.5,A
0,0,0,1,0,0,0,0,0,1,0,0,119,'\'(573.253522-741.552114]\'',186,'\'(21.845585-inf)\'',5,3,2,3,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.7,A
0,1,0,0,1,0,1,1,0,0,1,0,86,'\'(741.552114-inf)\'',70,'\'(21.845585-inf)\'',7,4,3,2,1,'INGENIERIA CIVIL INDUSTRIAL',6.9,A
0,1,1,1,1,1,1,1,1,1,1,1,65,'\'(573.253522-741.552114]\'',34,'\'(13.465412-15.967208]\'',8,6,4,1,1,'INGENIERIA EN COMPUTACION E INFORMATICA',6.4,A
0,0,0,0,0,0,1,1,0,1,1,1,81,'\'(741.552114-inf)\'',62,'\'(18.512556-21.845585]\'',7,4,4,2,2,'INGENIERIA CIVIL INDUSTRIAL',6.2,A
0,0,0,0,0,0,1,1,0,0,1,0,144,'\'(741.552114-inf)\'',142,'\'(21.845585-inf)\'',5,4,2,2,2,'INGENIERIA CIVIL INDUSTRIAL',5.2,A
0,1,1,0,0,1,1,1,1,1,1,1,65,'\'(366.642527-459.963403]\'',41,'\'(-inf-13.465412]\'',9,5,4,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6.4,A
0,0,0,1,0,1,1,1,0,1,1,1,80,'\'(-inf-366.642527]\'',97,'\'(15.967208-18.512556]\'',9,6,4,3,3,'INGENIERIA CIVIL INDUSTRIAL',6.7,A
1,1,0,0,1,0,1,1,0,0,1,1,72,'\'(366.642527-459.963403]\'',41,'\'(13.465412-15.967208]\'',8,5,3,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6.6,A
1,1,0,0,0,0,1,1,0,1,0,1,81,'\'(573.253522-741.552114]\'',26,'\'(15.967208-18.512556]\'',6,4,4,1,0,'BACHILLERATO EN CIENCIAS',7,A
0,1,0,0,1,1,1,1,0,1,1,1,70,'\'(741.552114-inf)\'',69,'\'(18.512556-21.845585]\'',8,5,4,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',3.8,A
0,0,0,0,0,0,1,0,0,0,1,0,121,'\'(741.552114-inf)\'',49,'\'(21.845585-inf)\'',4,3,2,1,2,'INGENIERIA EN COMPUTACION E INFORMATICA',6,A
0,1,1,1,1,0,1,1,1,1,1,0,72,'\'(459.963403-573.253522]\'',67,'\'(15.967208-18.512556]\'',6,3,3,2,1,'INGENIERIA CIVIL INDUSTRIAL',7,A
0,0,1,1,1,1,1,1,1,1,1,1,64,'\'(459.963403-573.253522]\'',35,'\'(13.465412-15.967208]\'',7,4,4,1,2,'INGENIERIA CIVIL INDUSTRIAL',5.4,A
0,1,1,0,0,0,1,1,1,1,1,1,79,'\'(741.552114-inf)\'',135,'\'(21.845585-inf)\'',6,4,2,3,3,'INGENIERIA CIVIL INFORMATICA',6.2,A
0,1,0,0,0,0,1,1,0,1,1,0,105,'\'(-inf-366.642527]\'',102,'\'(21.845585-inf)\'',5,3,2,1,2,'INGENIERIA CIVIL INDUSTRIAL',6.2,A
0,1,1,0,0,1,1,1,1,1,1,1,71,'\'(459.963403-573.253522]\'',45,'\'(13.465412-15.967208]\'',7,5,3,2,1,'INGENIERIA CIVIL INDUSTRIAL',6.2,A
1,1,1,0,1,1,1,1,1,1,1,1,65,'\'(-inf-366.642527]\'',35,'\'(-inf-13.465412]\'',9,6,5,2,2,'INGENIERIA EN COMPUTACION E INFORMATICA',5.9,A
0,1,1,1,1,0,1,1,1,1,1,1,65,'\'(741.552114-inf)\'',69,'\'(18.512556-21.845585]\'',8,6,4,3,2,'INGENIERIA CIVIL INDUSTRIAL',5.8,A
0,1,0,0,1,1,1,1,0,1,1,1,67,'\'(-inf-366.642527]\'',70,'\'(-inf-13.465412]\'',8,4,4,3,2,'INGENIERIA CIVIL INFORMATICA',5.6,A
